year, month, day, hour, minute, second, I total up North [MA], I total down North [MA], I day up North [MA], I day down North [MA], I night up North [MA], I night down North [MA], I total up South [MA], I total down South [MA], I day up South [MA], I day down South [MA], I night up South [MA], I night down South [MA]
2024 05 11 03 52 00    19.92  -19.83   11.53  -12.74    8.40   -7.09   14.85  -15.07    7.52   -9.49    7.34   -5.59
2024 05 11 03 54 00    20.00  -19.87   11.50  -12.75    8.50   -7.12   15.50  -15.43    8.36  -10.22    7.14   -5.21
2024 05 11 03 56 00    20.16  -20.34   11.29  -12.87    8.88   -7.47   15.75  -15.49    8.58  -10.41    7.17   -5.09
2024 05 11 03 58 00    18.87  -18.61   11.34  -12.73    7.53   -5.88   15.81  -15.46    8.58  -10.17    7.23   -5.30
2024 05 11 04 00 00    19.31  -19.01   11.46  -13.08    7.84   -5.93   15.39  -15.55    8.36  -10.38    7.04   -5.17
2024 05 11 04 02 00    19.94  -19.58   11.23  -12.58    8.72   -7.01   15.14  -15.36    8.54  -10.51    6.60   -4.85
2024 05 11 04 04 00    19.58  -19.62   11.36  -12.88    8.22   -6.73   15.28  -15.69    8.33   -9.97    6.96   -5.73
2024 05 11 04 06 00    19.84  -19.74   11.28  -12.72    8.55   -7.02   14.24  -14.40    7.65   -9.29    6.59   -5.11
2024 05 11 04 08 00    19.18  -19.16   11.29  -12.54    7.89   -6.62   14.74  -14.41    7.85   -9.14    6.90   -5.27
2024 05 11 04 10 00    20.61  -20.45   12.55  -13.53    8.06   -6.92   15.49  -15.42    8.40   -9.75    7.09   -5.68
2024 05 11 04 12 00    20.89  -20.36   12.74  -13.67    8.15   -6.69   17.08  -16.82    9.19  -10.72    7.88   -6.10
2024 05 11 04 14 00    21.74  -21.32   13.34  -14.65    8.39   -6.68   17.13  -16.94    8.87  -10.73    8.26   -6.22
2024 05 11 04 16 00    22.37  -21.82   13.57  -15.02    8.80   -6.80   17.70  -17.82    8.96  -10.86    8.74   -6.96
2024 05 11 04 18 00    22.53  -22.10   14.02  -15.54    8.51   -6.56   17.88  -17.38    9.19  -10.74    8.69   -6.64
2024 05 11 04 20 00    22.26  -21.93   13.50  -15.26    8.76   -6.67   18.27  -17.78    9.27  -10.90    9.00   -6.88
2024 05 11 04 22 00    23.24  -23.14   14.12  -15.83    9.13   -7.31   19.38  -19.33   10.55  -12.13    8.83   -7.20
2024 05 11 04 24 00    23.47  -23.18   14.05  -15.37    9.42   -7.81   18.89  -18.62   10.88  -12.71    8.01   -5.91
2024 05 11 04 26 00    24.75  -24.30   14.40  -15.58   10.35   -8.73   19.45  -19.17   11.20  -12.93    8.25   -6.24
2024 05 11 04 28 00    24.50  -23.90   13.85  -14.92   10.65   -8.99   19.64  -19.21   11.12  -13.03    8.52   -6.18
2024 05 11 04 30 00    24.54  -23.60   14.32  -15.30   10.21   -8.30   19.07  -18.56   10.38  -11.97    8.69   -6.59
2024 05 11 04 32 00    24.84  -24.09   14.81  -15.74   10.03   -8.35   20.25  -19.74   11.42  -13.12    8.83   -6.63
2024 05 11 04 34 00    23.66  -22.99   14.25  -15.34    9.41   -7.65   18.64  -18.14    9.85  -11.22    8.80   -6.92
2024 05 11 04 36 00    23.08  -22.70   14.22  -15.33    8.86   -7.37   18.30  -18.14    9.57  -11.36    8.73   -6.78
2024 05 11 04 38 00    23.56  -23.36   14.59  -16.31    8.98   -7.05   18.00  -17.85    9.49  -11.25    8.51   -6.59
2024 05 11 04 40 00    24.27  -24.33   15.29  -17.23    8.99   -7.10   17.64  -17.40    9.40  -11.04    8.24   -6.35
2024 05 11 04 42 00    24.20  -24.04   15.33  -17.15    8.87   -6.89   18.23  -18.12    9.49  -11.52    8.74   -6.60
2024 05 11 04 44 00    23.83  -23.76   14.76  -17.06    9.06   -6.70   18.40  -18.07    9.10  -11.29    9.29   -6.79
2024 05 11 04 46 00    23.95  -23.74   14.65  -16.60    9.30   -7.14   18.46  -17.85    9.17  -10.75    9.29   -7.09
2024 05 11 04 48 00    23.52  -23.34   14.25  -16.05    9.27   -7.29   18.72  -18.10   10.27  -11.71    8.44   -6.39
2024 05 11 04 50 00    23.43  -23.13   13.25  -15.02   10.18   -8.10   17.60  -16.93    9.54  -10.81    8.06   -6.12
2024 05 11 04 52 00    23.53  -22.95   13.86  -15.45    9.67   -7.50   17.71  -17.61   10.29  -11.40    7.42   -6.21
2024 05 11 04 54 00    23.55  -23.07   14.16  -15.76    9.39   -7.31   15.18  -14.86    8.46   -9.77    6.72   -5.08
2024 05 11 04 56 00    20.98  -20.62   13.07  -14.77    7.91   -5.85   14.84  -14.86    8.17   -9.74    6.67   -5.13
2024 05 11 04 58 00    20.72  -20.50   12.66  -14.47    8.05   -6.02   14.87  -15.38    8.07   -9.90    6.80   -5.48
2024 05 11 05 00 00    20.62  -20.33   12.63  -14.43    7.99   -5.90   14.25  -14.39    7.81   -9.60    6.44   -4.79
2024 05 11 05 02 00    20.31  -20.18   12.68  -14.58    7.63   -5.60   15.17  -15.83    8.55  -10.40    6.61   -5.44
2024 05 11 05 04 00    20.58  -20.27   12.88  -14.62    7.71   -5.65   14.40  -14.82    8.10   -9.73    6.30   -5.09
2024 05 11 05 06 00    20.88  -20.66   12.89  -14.62    7.99   -6.04   13.90  -14.48    7.87   -9.34    6.03   -5.14
2024 05 11 05 08 00    19.91  -19.89   11.78  -13.81    8.13   -6.09   14.72  -15.24    8.13   -9.44    6.59   -5.80
2024 05 11 05 10 00    19.21  -19.18   11.32  -13.48    7.89   -5.70   13.95  -14.22    8.36   -9.81    5.59   -4.41
2024 05 11 05 12 00    18.38  -18.31   10.31  -12.66    8.08   -5.64   13.36  -13.08    7.50   -9.03    5.86   -4.05
2024 05 11 05 14 00    18.82  -18.61   10.96  -12.96    7.86   -5.65   13.95  -13.99    7.91   -9.22    6.04   -4.77
2024 05 11 05 16 00    17.85  -17.41   10.15  -12.21    7.70   -5.20   13.81  -13.84    7.95   -9.15    5.86   -4.69
2024 05 11 05 18 00    18.93  -18.28   10.96  -12.59    7.97   -5.69   14.38  -14.03    8.11   -9.05    6.28   -4.98
2024 05 11 05 20 00    19.12  -18.75   11.63  -13.33    7.49   -5.42   14.29  -14.45    7.58   -8.39    6.71   -6.06
2024 05 11 05 22 00    19.23  -18.63   11.52  -12.84    7.71   -5.80   14.65  -15.28    8.03   -9.04    6.62   -6.24
2024 05 11 05 24 00    17.67  -17.01   11.29  -12.47    6.38   -4.54   14.00  -14.68    7.72   -8.69    6.28   -5.99
2024 05 11 05 26 00    17.19  -17.10   11.67  -12.81    5.51   -4.29   14.18  -15.02    7.75   -8.73    6.42   -6.29
2024 05 11 05 28 00    17.68  -17.54   12.33  -13.49    5.35   -4.05   13.59  -14.23    7.50   -8.68    6.09   -5.55
2024 05 11 05 30 00    16.33  -16.18   11.24  -12.25    5.10   -3.93   12.83  -13.59    6.56   -7.40    6.27   -6.19
2024 05 11 05 32 00    16.48  -16.52   10.72  -12.12    5.76   -4.40   12.93  -13.30    6.98   -7.68    5.95   -5.63
